ts_code,symbol,name,area,industry,fullname,enname,market,exchange_id,curr_type,list_status,list_date,delist_date,is_hs
000513.SZ,000513,丽珠集团,广东,中成药,丽珠医药集团股份有限公司,Livzon Pharmaceutical Group Inc.,主板,SZSE,CNY,L,1993-10-28,,S
000514.SZ,000514,渝开发,重庆,区域地产,重庆渝开发股份有限公司,Chongqing Yukaifa Co.,Ltd,主板,SZSE,CNY,L,1993-07-12,,N
000515.SZ,000515,攀渝钛业(退市),None,None,攀钢集团重庆钛业股份有限公司,Chongqing Titanium Industry Co.Ltd of Pangang Group,主板,SZSE,CNY,D,1993-07-12,2009-05-06,N
000517.SZ,000517,荣安地产,浙江,区域地产,荣安地产股份有限公司,Rongan Property Co., Ltd.,主板,SZSE,CNY,L,1993-08-06,,S
000518.SZ,000518,四环生物,江苏,生物制药,江苏四环生物股份有限公司,Jiangsu Sihuan Bioengineering Co.,Ltd,主板,SZSE,CNY,L,1993-09-08,,N
000519.SZ,000519,中兵红箭,湖南,矿物制品,中兵红箭股份有限公司,NORTH INDUSTRIES GROUP RED ARROW CO., LTD,主板,SZSE,CNY,L,1993-10-08,,N
000520.SZ,000520,长航凤凰,湖北,水运,长航凤凰股份有限公司,Chang Jiang Shipping Group Phoenix Co.,Ltd,主板,SZSE,CNY,L,1993-10-25,,N
000521.SZ,000521,长虹美菱,安徽,家用电器,长虹美菱股份有限公司,CHANGHONG MEILING CO.,LTD.,主板,SZSE,CNY,L,1993-10-18,,N
000522.SZ,000522,白云山A(退市),None,None,广州白云山制药股份有限公司,Guangzhou Baiyunshan Pharmaceutical Co.,Ltd.,主板,SZSE,CNY,D,1993-11-08,2013-04-26,N
000523.SZ,000523,广州浪奇,广东,日用化工,广州市浪奇实业股份有限公司,Lonkey Industrial Co.,Ltd.Guangzhou,主板,SZSE,CNY,L,1993-11-08,,N
000524.SZ,000524,岭南控股,广东,酒店餐饮,广州岭南集团控股股份有限公司,Guangzhou Lingnan Group Holdings Company Limited,主板,SZSE,CNY,L,1993-11-18,,N
000525.SZ,000525,红太阳,江苏,农药化肥,南京红太阳股份有限公司,Nanjing Red Sun Co.,Ltd.,主板,SZSE,CNY,L,1993-10-28,,S
